#x/b    y/b     z/b     U       V       W       SigmaU  SigmaV  SigmaW  k
-0.750  0.000  0.125  0.210  -0.079  -0.764  0.882  0.496  0.933  0.947 
-0.750  -0.250  0.125  0.418  -0.784  -0.603  0.900  0.590  0.950  1.030 
-0.750  -0.500  0.125  0.994  -1.583  -0.238  0.994  0.732  1.086  1.352 
-0.750  -0.625  0.125  1.487  -1.669  0.057  1.017  0.779  1.068  1.391 
-0.750  -0.875  0.125  2.135  -1.526  0.213  1.069  0.778  0.723  1.135 
-0.750  -1.125  0.125  2.720  -1.267  0.124  0.954  0.773  0.436  0.849 
-0.750  -1.500  0.125  3.131  -0.804  0.048  0.727  0.669  0.280  0.527 
-0.750  -2.000  0.125  3.298  -0.522  -0.006  0.683  0.575  0.253  0.431 


-0.500  -0.625  0.125  2.786  -2.893  1.571  0.987  0.917  0.812  1.237 
-0.500  -0.875  0.125  2.986  -1.628  0.253  0.918  0.855  1.015  1.302 
-0.500  -1.125  0.125  2.987  -1.299  -0.080  0.947  0.789  0.662  0.979 
-0.500  -1.500  0.125  3.228  -0.909  0.071  0.777  0.721  0.385  0.636 
-0.500  -2.000  0.125  3.358  -0.515  0.003  0.657  0.619  0.252  0.439 


-0.250  -0.625  0.125  0.653  -0.055  0.404  1.461  0.624  0.822  1.600 
-0.250  -0.875  0.125  3.738  -1.146  0.567  0.971  0.822  0.900  1.214 
-0.250  -1.125  0.125  3.386  -1.186  0.070  0.882  0.786  0.749  0.978 
-0.250  -1.500  0.125  3.398  -0.873  0.072  0.778  0.799  0.394  0.699 
-0.250  -2.000  0.125  3.481  -0.531  0.011  0.669  0.646  0.273  0.470 


0.000  -0.625  0.125  0.829  0.268  -0.024  1.561  0.781  0.716  1.780 
0.000  -0.875  0.125  3.389  -0.360  0.394  1.408  0.590  0.751  1.447 
0.000  -1.125  0.125  3.621  -0.849  0.100  0.867  0.693  0.683  0.849 
0.000  -1.500  0.125  3.507  -0.817  0.053  0.770  0.798  0.429  0.707 
0.000  -2.000  0.125  3.564  -0.493  0.010  0.657  0.664  0.277  0.475 


0.500  -0.625  0.125  1.471  0.012  -0.183  1.789  0.846  0.643  2.165 
0.500  -0.875  0.125  2.997  0.114  -0.010  1.469  0.676  0.652  1.520 
0.500  -1.125  0.125  3.597  -0.284  0.020  0.976  0.533  0.585  0.789 
0.500  -1.500  0.125  3.690  -0.492  -0.016  0.734  0.707  0.417  0.606 
0.500  -2.000  0.125  3.630  -0.362  0.007  0.679  0.703  0.287  0.519 


0.750  0.000  0.125  -0.662  -0.134  0.102  0.640  0.782  0.420  0.599 
0.750  -0.250  0.125  -0.485  -0.370  0.070  0.696  0.765  0.388  0.610 
0.750  -0.500  0.125  0.590  -0.012  -0.055  1.189  0.869  0.522  1.221 
0.750  -0.625  0.125  1.784  0.136  -0.126  1.689  0.882  0.619  2.007 
0.750  -0.875  0.125  2.939  0.156  -0.211  1.433  0.738  0.641  1.505 
0.750  -1.125  0.125  3.484  -0.126  -0.162  1.050  0.564  0.547  0.860 
0.750  -1.500  0.125  3.676  -0.363  -0.045  0.744  0.666  0.410  0.583 
0.750  -2.000  0.125  3.639  -0.358  0.005  0.654  0.718  0.292  0.514 


1.250  0.000  0.125  -0.683  -0.022  0.081  0.823  1.030  0.546  1.018 
1.250  -0.250  0.125  -0.225  0.152  -0.016  1.169  1.117  0.568  1.468 
1.250  -0.500  0.125  1.078  0.431  -0.111  1.655  1.026  0.581  2.065 
1.250  -0.625  0.125  1.742  0.392  -0.160  1.748  0.930  0.596  2.138 
1.250  -0.875  0.125  2.822  0.291  -0.143  1.407  0.755  0.556  1.429 
1.250  -1.125  0.125  3.263  0.075  -0.107  1.120  0.622  0.511  0.951 
1.250  -1.500  0.125  3.591  -0.144  -0.064  0.813  0.605  0.385  0.588 
1.250  -2.000  0.125  3.636  -0.208  -0.028  0.687  0.696  0.280  0.517 


2.000  0.000  0.125  0.223  -0.086  -0.087  0.904  1.050  0.526  1.098 
2.000  -0.250  0.125  0.548  0.148  -0.134  1.140  1.056  0.549  1.358 
2.000  -0.500  0.125  1.243  0.334  -0.181  1.408  0.952  0.551  1.596 
2.000  -0.625  0.125  1.560  0.326  -0.188  1.489  0.933  0.542  1.691 
2.000  -0.875  0.125  2.312  0.264  -0.165  1.490  0.798  0.531  1.569 
2.000  -1.125  0.125  2.805  0.156  -0.127  1.229  0.676  0.470  1.094 
2.000  -1.500  0.125  3.274  -0.005  -0.084  0.974  0.641  0.373  0.749 
2.000  -2.000  0.125  3.546  -0.106  -0.062  0.740  0.661  0.281  0.532 


3.250  0.000  0.125  1.371  -0.022  -0.196  0.836  0.869  0.508  0.856 
3.250  -0.250  0.125  1.462  0.014  -0.203  0.902  0.854  0.500  0.896 
3.250  -0.500  0.125  1.679  0.035  -0.201  0.982  0.872  0.502  0.988 
3.250  -0.625  0.125  1.804  0.069  -0.185  1.027  0.807  0.483  0.970 
3.250  -0.875  0.125  2.114  0.030  -0.160  1.089  0.761  0.469  0.993 
3.250  -1.125  0.125  2.465  0.020  -0.128  1.113  0.744  0.429  0.988 
3.250  -1.500  0.125  2.874  -0.039  -0.086  1.009  0.689  0.370  0.815 
3.250  -2.000  0.125  3.248  -0.018  -0.061  0.875  0.633  0.304  0.629 
