#x/b    y/b     z/b     U       V       W       SigmaU  SigmaV  SigmaW  k
-0.750 	0.000 	0.125 	0.208 	-0.088 	-0.667 	0.878 	0.478 	0.907 	0.911 
-0.750 	0.000 	0.500 	1.267 	-0.046 	-0.621 	0.623 	0.532 	0.582 	0.505 
-0.750 	0.000 	1.000 	1.409 	-0.042 	-0.291 	0.603 	0.579 	0.620 	0.542 
-0.750 	0.000 	1.500 	1.701 	0.022 	0.328 	0.603 	0.621 	0.569 	0.537 
-0.750 	0.000 	1.750 	2.067 	0.078 	0.837 	0.604 	0.673 	0.533 	0.551 
-0.750 	0.000 	2.000 	3.044 	0.081 	1.341 	0.706 	0.664 	0.532 	0.611 
-0.750 	0.000 	2.125 	3.654 	0.068 	1.312 	0.781 	0.673 	0.522 	0.668 
-0.750 	0.000 	2.375 	4.539 	0.034 	0.906 	0.843 	0.658 	0.513 	0.703 
-0.750 	0.000 	2.750 	4.962 	-0.009 	0.442 	0.849 	0.617 	0.509 	0.680 
-0.750 	0.000 	3.500 	5.351 	-0.021 	0.104 	0.809 	0.607 	0.513 	0.643 


-0.500 	0.000 	2.125 	4.281 	0.113 	2.580 	0.862 	0.704 	0.699 	0.864 
-0.500 	0.000 	2.375 	4.937 	0.019 	1.091 	0.834 	0.633 	0.554 	0.702 
-0.500 	0.000 	2.750 	5.138 	-0.006 	0.418 	0.827 	0.623 	0.522 	0.672 
-0.500 	0.000 	3.500 	5.402 	-0.045 	0.012 	0.783 	0.580 	0.525 	0.613 


-0.250 	0.000 	2.125 	1.681 	-0.109 	0.271 	2.309 	0.955 	0.814 	3.453 
-0.250 	0.000 	2.375 	5.568 	0.014 	0.834 	0.897 	0.621 	0.573 	0.759 
-0.250 	0.000 	2.750 	5.268 	-0.009 	0.298 	0.813 	0.629 	0.525 	0.666 
-0.250 	0.000 	3.500 	5.416 	-0.048 	-0.015 	0.785 	0.594 	0.527 	0.623 

0.000 	0.000 	2.125 	1.250 	-0.122 	-0.186 	1.972 	1.087 	1.061 	3.098 
0.000 	0.000 	2.375 	5.461 	-0.024 	0.221 	1.148 	0.693 	0.518 	1.033 
