z,U,k
0.005 ,0.365 ,0.008 
0.010 ,0.390 ,0.009 
0.020 ,0.418 ,0.009 
0.030 ,0.437 ,0.009 
0.050 ,0.483 ,0.010 
0.100 ,0.559 ,0.010 
0.200 ,0.655 ,0.009 
0.300 ,0.730 ,0.008 
0.400 ,0.790 ,0.007 
0.600 ,0.893 ,0.006 
0.800 ,0.948 ,0.004 
1.000 ,1.000 ,0.002 
