-0.075	0	0.0125	0.511 
-0.075	0.025	0.0125	0.540 
-0.075	0.05	0.0125	0.678 
-0.075	0.0755	0.0125	0.745 
-0.075	0.1	0.0125	0.950 
-0.075	0.11	0.0125	0.944 
-0.075	0.1255	0.0125	1.165 
-0.075	0.15	0.0125	1.520 
-0.075	0.175	0.0125	1.570 
-0.075	0.2	0.0125	1.602 
-0.075	0.25	0.0125	1.044 
-0.075	0.3	0.0125	0.585 
-0.075	0.35	0.0125	0.481 
-0.025	0.11	0.0125	0.714 
-0.025	0.1255	0.0125	0.816 
-0.025	0.15	0.0125	1.164 
-0.025	0.175	0.0125	1.645 
-0.025	0.2	0.0125	2.012 
-0.025	0.25	0.0125	1.403 
-0.025	0.3	0.0125	0.685 
-0.025	0.35	0.0125	0.488 
0	0.11	0.0125	0.836 
0	0.1255	0.0125	1.782 
0	0.15	0.0125	0.769 
0	0.175	0.0125	0.952 
0	0.2	0.0125	1.213 
0	0.25	0.0125	1.585 
0	0.3	0.0125	0.984 
0	0.35	0.0125	0.648 
0.025	0.11	0.0125	1.311 
0.025	0.1255	0.0125	2.245 
0.025	0.15	0.0125	1.238 
0.025	0.175	0.0125	0.883 
0.025	0.2	0.0125	1.010 
0.025	0.25	0.0125	1.409 
0.025	0.3	0.0125	1.163 
0.025	0.35	0.0125	0.707 
0.05	0	0.0125	0.681 
0.05	0.025	0.0125	0.754 
0.05	0.05	0.0125	0.711 
0.05	0.0755	0.0125	0.772 
0.05	0.1	0.0125	1.211 
0.05	0.11	0.0125	1.594 
0.05	0.1255	0.0125	2.059 
0.05	0.15	0.0125	1.949 
0.05	0.175	0.0125	1.150 
0.05	0.2	0.0125	0.995 
0.05	0.25	0.0125	1.216 
0.05	0.3	0.0125	1.224 
0.05	0.35	0.0125	0.876 
0.1	0	0.0125	0.840 
0.1	0.025	0.0125	0.963 
0.1	0.05	0.0125	1.031 
0.1	0.0755	0.0125	1.244 
0.1	0.1	0.0125	1.886 
0.1	0.11	0.0125	2.272 
0.1	0.1255	0.0125	2.330 
0.1	0.15	0.0125	2.099 
0.1	0.175	0.0125	1.645 
0.1	0.2	0.0125	1.202 
0.1	0.25	0.0125	1.069 
0.1	0.3	0.0125	1.174 
0.1	0.35	0.0125	0.924 
0.2	0	0.0125	1.358 
0.2	0.025	0.0125	1.190 
0.2	0.05	0.0125	1.341 
0.2	0.0755	0.0125	1.582 
0.2	0.1	0.0125	1.999 
0.2	0.11	0.0125	2.310 
0.2	0.1255	0.0125	2.471 
0.2	0.15	0.0125	2.405 
0.2	0.175	0.0125	1.894 
0.2	0.2	0.0125	1.632 
0.2	0.25	0.0125	1.173 
0.2	0.3	0.0125	1.128 
0.2	0.35	0.0125	1.004 
0.3	0	0.0125	1.505 
0.3	0.025	0.0125	1.439 
0.3	0.05	0.0125	1.498 
0.3	0.0755	0.0125	1.547 
0.3	0.1	0.0125	1.778 
0.3	0.11	0.0125	1.861 
0.3	0.1255	0.0125	1.909 
0.3	0.15	0.0125	1.897 
0.3	0.175	0.0125	1.789 
0.3	0.2	0.0125	1.713 
0.3	0.25	0.0125	1.292 
0.3	0.3	0.0125	1.048 
0.3	0.35	0.0125	1.000 
0.4	0	0.0125	1.393 
0.4	0.025	0.0125	1.330 
0.4	0.05	0.0125	1.424 
0.4	0.0755	0.0125	1.441 
0.4	0.1	0.0125	1.423 
0.4	0.11	0.0125	1.449 
0.4	0.1255	0.0125	1.626 
0.4	0.15	0.0125	1.571 
0.4	0.175	0.0125	1.603 
0.4	0.2	0.0125	1.544 
0.4	0.25	0.0125	1.205 
0.4	0.3	0.0125	1.023 
0.4	0.35	0.0125	0.952 
0.55	0	0.0125	1.261 
0.55	0.025	0.0125	1.185 
0.55	0.05	0.0125	1.205 
0.55	0.0755	0.0125	1.232 
0.55	0.1	0.0125	1.264 
0.55	0.11	0.0125	1.217 
0.55	0.1255	0.0125	1.365 
0.55	0.15	0.0125	1.282 
0.55	0.175	0.0125	1.250 
0.55	0.2	0.0125	1.229 
0.55	0.25	0.0125	1.175 
0.55	0.3	0.0125	1.030 
0.55	0.35	0.0125	0.939 
